0,Abilene Christian,Abilene Texas,1971,2024,14,423,226,197,.534,-7.74,-5.57,0,0,2,2,0
1,Air Force,USAF Academy Colorado,1958,2024,67,1843,794,1049,.431,-2.80,1.33,0,1,0,4,0
2,Akron,Akron Ohio,1902,2024,73,1718,1027,691,.598,0.00,-1.55,0,9,6,6,0
3,Alabama,Tuscaloosa Alabama,1913,2024,111,2896,1794,1101,.620,7.94,4.92,18,12,9,25,1
4,Alabama A&M,Normal Alabama,2000,2024,25,723,277,446,.383,-16.61,-11.07,0,1,1,1,0
5,Alabama State,Montgomery Alabama,1983,2024,42,1240,574,666,.463,-13.25,-9.91,0,4,4,4,0
6,Albany (NY),Albany New York,2000,2024,25,768,367,401,.478,-7.08,-5.93,0,2,5,5,0
7,Alcorn State,Alcorn State Mississippi,1978,2024,47,1392,607,785,.436,-13.44,-8.67,0,12,6,6,0
8,American,Washington D.C.,1967,2024,58,1639,802,837,.489,-5.83,-3.98,0,7,3,3,0
9,Appalachian State,Boone North Carolina,1974,2024,51,1514,754,760,.498,-5.49,-3.25,0,11,3,3,0
10,Arizona,Tucson Arizona,1905,2024,117,2888,1913,974,.663,9.53,5.21,30,26,9,38,4
11,Arizona State,Tempe Arizona,1912,2024,109,2700,1431,1269,.530,5.10,4.21,7,8,0,17,0
12,Arkansas,Fayetteville Arkansas,1924,2024,101,2813,1799,1014,.640,7.90,3.40,18,26,7,35,6
13,Arkansas State,State University Arkansas,1971,2024,54,1575,805,770,.511,-3.67,-2.99,0,7,1,1,0
14,Arkansas-Pine Bluff,Pine Bluff Arkansas,1999,2024,26,785,233,552,.297,-19.25,-8.20,0,0,1,1,0
15,Army,West Point New York,1903,2024,122,2634,1304,1330,.495,-9.16,-4.74,0,0,0,0,0
16,Auburn,Auburn Alabama,1906,2024,118,2729,1478,1250,.542,6.14,4.42,10,5,3,13,1
17,Austin Peay,Clarksville Tennessee,1964,2024,61,1762,878,884,.498,-5.67,-3.47,1,8,5,7,0
18,Ball State,Muncie Indiana,1972,2024,53,1560,827,733,.530,-1.11,-0.92,1,12,7,7,0
19,Baylor,Waco Texas,1907,2024,118,2887,1479,1408,.512,2.66,2.95,11,7,0,16,3
20,Bellarmine,Louisville Kentucky,2021,2024,4,119,57,62,.479,-6.18,-2.66,0,0,1,0,0
21,Belmont,Nashville Tennessee,2000,2024,25,796,533,263,.670,1.61,-3.37,0,14,8,8,0
22,Bethune-Cookman,Daytona Beach Florida,1981,2024,43,1281,471,810,.368,-16.50,-9.81,0,2,0,0,0
23,Binghamton,Binghamton New York,2002,2024,23,682,249,433,.365,-11.10,-5.51,0,1,1,1,0
24,Boise State,Boise Idaho,1972,2024,53,1575,895,680,.568,1.13,-0.16,1,7,6,10,0
25,Boston College,Chestnut Hill Massachusetts,1946,2024,79,2236,1209,1027,.541,3.19,3.36,8,6,2,18,0
26,Boston University,Boston Massachusetts,1916,2024,98,2283,1173,1110,.514,-6.75,-5.46,0,8,7,7,0
27,Bowling Green State,Bowling Green Ohio,1916,2024,109,2725,1466,1259,.538,-0.71,-0.13,2,9,0,4,0
28,Bradley,Peoria Illinois,1903,2024,120,3034,1769,1265,.583,4.76,2.88,12,8,4,9,2
29,Brigham Young,Provo Utah,1903,2024,122,3086,1939,1147,.628,8.02,3.74,12,25,3,31,0
30,Brown,Providence Rhode Island,1901,2024,117,2688,1100,1588,.409,-10.54,-4.46,0,1,0,2,0
31,Bryant,Smithfield Rhode Island,2011,2024,14,427,186,241,.436,-8.94,-5.47,0,1,1,1,0
32,Bucknell,Lewisburg Pennsylvania,1896,2024,129,2821,1503,1318,.533,-8.33,-6.80,0,18,8,8,0
33,Buffalo,Buffalo New York,1907,2024,55,1355,687,668,.507,-4.67,-2.27,1,5,4,4,0
34,Butler,Indianapolis Indiana,1897,2024,126,2896,1675,1221,.578,2.14,3.47,8,13,7,16,2
35,Cal Poly,San Luis Obispo California,1995,2024,30,882,326,556,.370,-7.40,-1.79,0,1,1,1,0
36,Cal State Bakersfield,Bakersfield California,2011,2024,14,436,205,231,.470,-5.05,-2.85,0,1,1,1,0
37,Cal State Fullerton,Fullerton California,1975,2024,50,1457,696,761,.478,-1.98,-0.41,0,2,4,4,0
